ID,ZoteroKey,DOI,Source,Title,DateRetrieved,Screener,Decision,FullTextView,ExclusionReason,Zote
52,,,PubMed,Research on cognitive impairment and potential risk factors in peritoneal dialysis patients: An observational study,9/14/25,DB,,,,
53,,,PubMed,Serum uric acid concentration in acute pancreatitis is significantly higher than healthy population,9/14/25,DB,,,,
54,,,PubMed,Predictive Factors for Tissue Inflammation in Patients with Benign Prostatic Hyperplasia: A Clinical Prediction Study,9/14/25,DB,,,,
55,,10.3390/ani13152509,PubMed,"Effect of Parity, Body Condition Score at Calving, and Milk Yield on the Metabolic Profile of Gyr Cows in the Transition Period",9/14/25,DB,Exclude,No,Not a human study,
56,,,PubMed,"Correlation between sedentary activity, physical activity and bone mineral density and fat in America: National Health and Nutrition Examination Survey, 2011-2018",9/14/25,DB,,,,
57,,,PubMed,"Clinical Features, Biochemical Parameters, and Treatment Adherence of Individuals Who Started the Treatment for Active Pulmonary Tuberculosis during the Pandemic Period",9/14/25,DB,,,,
58,,,PubMed,"[Use of cinacalcet in secondary hyperparathyroidism: assessment of nutritional, lipid and inflammatory status in chronic kidney disease]",9/14/25,DB,,,,
59,,,PubMed,Association between creatine phosphokinase level within normal range and bone mineral density in adolescents,9/14/25,DB,,,,
60,,,PubMed,High-normal free thyroxine level is related with decreased bone mineral density in nonobese male patients with type 2 diabetes over 50 years old,9/14/25,DB,,,,
61,,,PubMed,"Relationships among body weight, lipids and bone mass in elderly individuals with fractures: A case-control study",9/14/25,DB,,,,
62,,,PubMed,Causal Factors for Osteoarthritis: A Scoping Review of Mendelian Randomization Studies,9/14/25,DB,,,,
63,,,PubMed,The Relationship Between Serum Fibroblast Growth Factor 23 and Klotho Protein and Low Bone Mineral Density in Middle-Aged and Elderly Patients with End-Stage Renal Disease,9/14/25,DB,,,,
64,,,PubMed,Mendelian Randomization Analysis of Genetic Proxies of Thiazide Diuretics and the Reduction of Kidney Stone Risk,9/14/25,DB,,,,
65,,10.5551/jat.RV22006,PubMed,Role of Chronic Kidney Disease (CKD)-Mineral and Bone Disorder (MBD) in the Pathogenesis of Cardiovascular Disease in CKD,9/14/25,DB,Exclude,No,Review article,
66,,10.1016/j.heliyon.2023.e14491,PubMed,Metabolomics analysis of the effects of different litter size on reproductive metabolism and oxidative stress in breeding pigeon (Columba livia),9/14/25,DB,Exclude,No,Not a human study,
67,,10.3390/nu16111778,PubMed,A Mendelian Randomization Analysis Investigates Causal Associations between Inflammatory Bowel Diseases and Variable Risk Factors,9/14/25,DB,Exclude,No,Retracted,
68,,10.2141/jpsa.0220031,PubMed,Effects of Oxygen Gas Injection on the Subsequent Development of Chick Embryos in a Shell-Less Culture System,9/14/25,DB,Exclude,No,Not a human study,
69,,10.17305/bjbms.2022.7181,PubMed,Predictors of COVID-19 severity among pregnant patients,9/14/25,DB,Exclude,No,Serum calcium not mentioned,
70,,,PubMed,Mendelian Randomization Analysis of Genetic Proxies of Thiazide Diuretics and the Reduction of Kidney Stone Risk,9/14/25,DB,,,,
71,,,PubMed,The effect of the diet of nitrogen-free analogs of essential amino acids on chronic kidney disease deterioration: A meta-analysis,9/14/25,DB,,,,
72,,,PubMed,Analysis of Related Factors of Early Mortality in Patients with Severe Renal Injury Treated with Continuous Venovenous Hemodialysis,9/14/25,DB,,,,
73,,,PubMed,Serum Calcification Propensity and Calcification of the Abdominal Aorta in Patients With Primary Aldosteronism,9/14/25,DB,,,,
74,,,PubMed,Prognosis and risk factors for cardiac valve calcification in Chinese end-stage kidney disease patients on combination therapy with hemodialysis and hemodiafiltration,9/14/25,DB,,,,
75,,,PubMed,The association between blood PFAS concentrations and clinical biochemical measures of organ function and metabolism in participants of the Canadian Health Measures Survey (CHMS),9/14/25,DB,,,,
76,,,PubMed,"Long-Term Effects of Sevelamer on Vascular Calcification, Arterial Stiffness, and Calcification Propensity in Patients Receiving Peritoneal Dialysis: The Randomized Pilot SERENE (Sevelamer on Vascular Calcification, Arterial Stiffness) Trial",9/14/25,DB,,,,
77,,,PubMed,Vitamin D Deficiency in Cushing's Disease: Before and After Its Supplementation,9/14/25,DB,,,,
78,,,PubMed,Nutritional Assessment of Denture Wearers Using Matched Electronic Dental-Health Record Data,9/14/25,DB,,,,
79,,,PubMed,Associations between Genetically Proxied Inhibition of Lipid-Lowering Drug Targets and Serum Micronutrients among Individuals of European Descent: A Mendelian Randomization Study,9/14/25,DB,,,,
80,,,PubMed,Relationship between the dietary inflammatory index and kidney stone prevalence,9/14/25,DB,,,,
81,,,PubMed,Impact of Dietary Intake and Physical Activity on Metabolic Syndrome in Saudi Adults: An Exploratory Pilot Study,9/14/25,DB,,,,
82,,,PubMed,Serum PTH Associated with Malnutrition Determined by Bioelectrical Impedance Technology in Chronic Kidney Disease Patients,9/14/25,DB,,,,
83,,,PubMed,Evaluation of bone mineral density in patients with gestational diabetes mellitus by ultrasonic bone mineral density measurement combined with Vitamin-D deficiency and analysis of influencing factors,9/14/25,DB,,,,
84,,,PubMed,Socioeconomic status influences on bone mineral density in American men: findings from NHANES 2011-2020,9/14/25,DB,,,,
85,,,PubMed,Corrected Serum Ionized Calcium as a Risk Factor Related to Adult Dyslipidemia,9/14/25,DB,,,,
86,,,PubMed,Associations of serum calcium/magnesium ratios with coronary artery disease in diabetes: a cross-sectional study,9/14/25,DB,,,,
87,,,PubMed,Mendelian Randomization Studies of Lifestyle-Related Risk Factors for Osteoarthritis: A PRISMA Review and Meta-Analysis,9/14/25,DB,,,,
88,,,PubMed,The Usefulness of Calcium/Magnesium Ratio in the Risk Stratification of Early Onset of Renal Replacement Therapy,9/14/25,DB,,,,
89,,,PubMed,Association of serum calcium levels with infarct volume and stroke scores in acute ischemic stroke patients: An observational study,9/14/25,DB,,,,
90,,,PubMed,Association of some biochemical parameters and blood pressure among males with hypertension in the camps of Nineveh province-Iraq,9/14/25,DB,,,,
91,,,PubMed,Reduced serum calcium is associated with a higher risk of retinopathy in non-diabetic individuals: The Chinese Multi-provincial Cohort Study,9/14/25,DB,,,,
92,,,PubMed,"Association Between Blood Calcium, Magnesium, and Non-alcoholic Fatty Liver Disease in Adults: a Cohort-Based Case-Control Study",9/14/25,DB,,,,
93,,,PubMed,Long-Term Use of Omeprazole: Effect on Haematological and Biochemical Parameters,9/14/25,DB,,,,
94,,,PubMed,[Impact of different types of heart failure on long-term renal prognosis in patients with renal insufficiency and heart failure],9/14/25,DB,,,,
95,,,PubMed,B-mode ultrasound assessment of carotid artery structural features in patients with normocalcaemic hyperparathyroidism,9/14/25,DB,,,,
96,,,PubMed,"Association between serum uric acid/serum creatinine ratios and lung function in the general American population: National Health and Nutrition Examination Survey (NHANES), 2007-2012",9/14/25,DB,,,,
97,,,PubMed,Effect of pulmonary function on bone mineral density in the United States: results from the NHANES 2007-2010 study,9/14/25,DB,,,,
98,,,PubMed,Contrast-Induced Acute Kidney Injury and Endothelial Dysfunction: The Role of Vascular and Biochemical Parameters,9/14/25,DB,,,,
99,,,PubMed,Values of Donor Serum Lipids and Calcium in Predicting Graft Function after Kidney Transplantation: A Retrospective Study,9/14/25,DB,,,,
100,,,PubMed,Vitamin D deficiency linked to abnormal bone and lipid metabolism predicts high-risk multiple myeloma with poorer prognosis,9/14/25,DB,,,,
101,,,PubMed,Incidence and risk factors of fasting hyperglycaemia following first-attack acute pancreatitis before discharge: a retrospective study,9/14/25,DB,,,,
102,,,PubMed,"Influence of time factor and albuminuria on characteristics of patients with type 2 diabetes Mellitus before, during and 1 year after COVID-19 recovery",9/14/25,DB,,,,
103,"Done through 60 of 582 on pubmed, sorted by publication date",,PubMed,The relationship between bile acids levels and the prognosis of patients with diabetes on maintenance hemodialysis: a retrospective study,9/14/25,DB,,,,
