exposure,ad,model,method,n_snp,b_ad,se_ad,p_ad,Q_p,egger_int_p,n_outlier,presso_global_p,b_life,se_life,p_life,b_SH,se_SH,trusted,reason,b_uncorr,b_corr,se_corr,ci_lo,ci_hi,p_corr,attenuation,verdict
Cardiovascular Disease,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,213,-0.5662523773150457,0.11599458762451381,1.0516782519040412e-6,6.443167546274114e-18,0.9699675490205151,NA,NA,0.6033909866863593,0.03007584262060769,1.5757886985047335e-89,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.5662523773150457,0.003129249255324984,0.12669578223222505,-0.24519448391983611,0.2514529824304861,0.9802951148616852,0.9944737552005297,ABOLISHED — signal explained by survival bias
Cardiovascular Disease,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,181,0.3607020794130975,0.3589324832893222,0.3149304784385599,1.3601188066998268e-106,0.002925682560214839,NA,NA,0.6033909866863593,0.03007584262060769,1.5757886985047335e-89,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",0.3607020794130975,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Systolic Blood Pressure,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,243,-0.006678630680700168,0.00278139321307771,0.016342216448034658,1.6607928937419417e-22,0.39431777895777775,NA,NA,0.01001169427894852,8.118514112916778e-4,6.09691551457898e-35,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.006678630680700168,0.002768767273615103,0.0029692238648176303,-0.0030509115014274524,0.008588446048657657,0.35108409828343157,0.585428899128042,ABOLISHED — signal explained by survival bias
Systolic Blood Pressure,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,216,-0.002781962801973596,0.004242360366521884,0.5119796842521154,1.1395494580257794e-4,0.4961245206025786,NA,NA,0.01001169427894852,8.118514112916778e-4,6.09691551457898e-35,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.002781962801973596,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Diastolic Blood Pressure,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,254,-0.01748992954054601,0.004524571563725875,1.1084195556039065e-4,1.2497647878102877e-15,0.888361202898315,NA,NA,0.01639631511469491,0.00141340825068654,4.094314812365454e-31,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.01748992954054601,-0.0020177717261999333,0.004855260799589412,-0.011534082893395182,0.007498539440995315,0.677713981094153,0.8846323696432146,ABOLISHED — signal explained by survival bias
Diastolic Blood Pressure,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,214,-0.019800015622180266,0.0072707096440803596,0.006464162411206115,0.004680822621342117,0.9095677373246931,NA,NA,0.01639631511469491,0.00141340825068654,4.094314812365454e-31,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.019800015622180266,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Chronotype,AD — Bellenguez 2022 (proxy-incl.),Weighted median,Weighted median,10,0.2278216600383365,0.1694593958356878,0.17881821887125746,0.10115008116336853,0.03374822608540593,NA,NA,-0.00326637584334607,0.04319976690478955,0.9397286166845212,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,0.2278216600383365,0.2247393892856889,0.17429375706419398,-0.11687637456013131,0.5663551531315091,0.19724905584210592,0.013529313903379303,inconclusive
Chronotype,AD — Kunkle 2019 IGAP (clinical),Weighted median,Weighted median,8,0.08335485240139925,0.2927525153019068,0.7758525000393981,0.9487192098268095,0.9080472787623284,NA,NA,-0.00326637584334607,0.04319976690478955,0.9397286166845212,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",0.08335485240139925,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Sleep Duration,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,66,-0.11138516439889622,0.1532710334687952,0.46739734327983984,8.220466117044354e-11,0.1793154015113831,NA,NA,-0.07082406896384916,0.04079767457660408,0.08256684284141134,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.11138516439889622,-0.17821732543004837,0.15811009486694422,-0.488113111369259,0.13167846050916227,0.2596696231742452,-0.6000095380010448,inconclusive
Sleep Duration,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,56,-0.028218891027083224,0.2563706505399154,0.912353323314492,4.147597938451582e-5,0.7901637967463561,NA,NA,-0.07082406896384916,0.04079767457660408,0.08256684284141134,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.028218891027083224,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
