ENSEMBL.ID,term,estimate,std.error,statistic,p.value,p.adj,symbol
ENSMUSG00000030341,chol2:sexM,-0.031525520531102275,0.06462643992919101,-0.4878114989104106,0.626819225685705,0.626819225685705,Tnfrsf1a
ENSMUSG00000035836,chol2:sexM,0.2554735866521042,0.5238656907164916,0.4876700100414912,0.6269190798862869,0.6269190798862869,Ugt2b1
ENSMUSG00000020390,chol2:sexM,-0.008050658715876215,0.016514885811601408,-0.4874789209999123,0.6270539498836403,0.6270539498836403,Ube2b
ENSMUSG00000038127,chol2:sexM,-0.00894481682722036,0.018351844952925217,-0.4874069528249032,0.6271047480609796,0.6271047480609796,Ccdc50
ENSMUSG00000056204,chol2:sexM,-0.013099701890983605,0.026934152252369684,-0.48636028222611255,0.6278437353087503,0.6278437353087503,Pgpep1
ENSMUSG00000032081,chol2:sexM,-0.20945741260548406,0.43085949716140864,-0.4861385532532827,0.6280003326841517,0.6280003326841517,Apoc3
ENSMUSG00000004221,chol2:sexM,-0.02047666637493772,0.04214335464593766,-0.4858812628223353,0.6281820668759173,0.6281820668759173,Ikbkg
ENSMUSG00000035104,chol2:sexM,-0.018133244414346824,0.037444645354072166,-0.48426802398262814,0.629322081600816,0.629322081600816,Eva1a
ENSMUSG00000061947,chol2:sexM,-0.09019084907536283,0.18626773322265175,-0.48420006790738596,0.6293701233137399,0.6293701233137399,Serpina10
ENSMUSG00000020741,chol2:sexM,-0.036797917022447495,0.07637368947431308,-0.4818140550198745,0.6310579300066279,0.6310579300066279,Cluh
ENSMUSG00000001467,chol2:sexM,-0.08123668332450823,0.16864443604981053,-0.4817039045421831,0.6311358950600511,0.6311358950600511,Cyp51
ENSMUSG00000038745,chol2:sexM,-0.05366003148229375,0.11155522609990791,-0.48101763905024303,0.6316217310802721,0.6316217310802721,Nlrp6
ENSMUSG00000089991,chol2:sexM,0.0887976906106225,0.18469362190774186,0.480783741709168,0.6317873537415983,0.6317873537415983,NA
ENSMUSG00000054474,chol2:sexM,-0.01830284678193266,0.03810631269377341,-0.4803100979361709,0.632122798310768,0.632122798310768,Thnsl2
ENSMUSG00000040370,chol2:sexM,-0.010145366954968633,0.021142925443864372,-0.47984688693649036,0.6324509285894722,0.6324509285894722,Etfrf1
ENSMUSG00000027195,chol2:sexM,0.039768742404326214,0.0829114801734978,0.47965302659061776,0.6325882775773016,0.6325882775773016,Hsd17b12
ENSMUSG00000027244,chol2:sexM,0.006590936479739693,0.013771542904514277,0.47859099923939535,0.6333409464977302,0.6333409464977302,Atg13
ENSMUSG00000026655,chol2:sexM,-0.039379948805226335,0.08228482190104278,-0.47858095691797664,0.6333480654290387,0.6333480654290387,Fam107b
ENSMUSG00000006005,chol2:sexM,-0.010080806580644364,0.02109057049586371,-0.47797695100857585,0.6337763043964275,0.6337763043964275,Tpr
