ENSEMBL.ID,term_main,estimate_main,std.error_main,statistic_main,p.value_main,p.adj_main,symbol,term_int,estimate_int,std.error_int,statistic_int,p.value_int,p.adj_int
ENSMUSG00000036216,chol2,0.01945306075022949,0.015833723513874437,1.2285840871974036,0.22226263438951596,0.22226263438951596,Leap2,NA,NA,NA,NA,NA,NA
ENSMUSG00000020936,chol2,-0.006686411782789409,0.00544786371744741,-1.227345640342545,0.22272543145381377,0.22272543145381377,Nmt1,chol2:sexM,-0.026234297380866523,0.010655745210363932,-2.4619861739327873,0.015639447395720693,0.015639447395720693
ENSMUSG00000021395,chol2,-0.015016139199488044,0.012235373164643935,-1.227272678767132,0.2227527184144753,0.2227527184144753,Spin1,NA,NA,NA,NA,NA,NA
ENSMUSG00000025162,chol2,-0.007531972193861116,0.006143630845006081,-1.2259805941926936,0.2232363489432021,0.2232363489432021,Csnk1d,chol2:sexM,-0.029430094834168984,0.012020670523699437,-2.448290615414995,0.016208613571795625,0.016208613571795625
ENSMUSG00000038160,chol2,0.008412616581233687,0.0068867780212425065,1.221560583960261,0.22489653977288135,0.22489653977288135,Atg5,NA,NA,NA,NA,NA,NA
ENSMUSG00000020258,chol2,-0.06425272500030661,0.05260807809254712,-1.2213471263343711,0.2249769423640698,0.2249769423640698,Glyctk,chol2:sexM,-0.21039328284654338,0.10392302066661963,-2.024510849443797,0.04575484120983926,0.04575484120983926
ENSMUSG00000026385,chol2,0.0866863832633079,0.07098963293820461,1.2211132763394772,0.22506505004324398,0.22506505004324398,Dbi,NA,NA,NA,NA,NA,NA
ENSMUSG00000034042,chol2,0.008095349048642377,0.006632410610431337,1.220574165886255,0.225268266116689,0.225268266116689,Gpbp1l1,NA,NA,NA,NA,NA,NA
ENSMUSG00000001155,chol2,0.13013518918189465,0.1067115186996147,1.2195046117581356,0.2256718253027321,0.2256718253027321,Ftcd,NA,NA,NA,NA,NA,NA
ENSMUSG00000095597,chol2,0.039832292273478606,0.03272500479789941,1.2171821675648893,0.22654992389111142,0.22654992389111142,Rps7-ps3,NA,NA,NA,NA,NA,NA
ENSMUSG00000055782,chol2,0.04301342026520153,0.03534098999259574,1.217097208488309,0.22658209315533587,0.22658209315533587,Abcd2,NA,NA,NA,NA,NA,NA
ENSMUSG00000022139,chol2,-0.012255779026647623,0.010075434247562463,-1.2164020652124892,0.2268454294946765,0.2268454294946765,Mbnl2,NA,NA,NA,NA,NA,NA
ENSMUSG00000016559,chol2,0.03041467088476828,0.025024172363942034,1.2154116604708796,0.22722100059092257,0.22722100059092257,H3f3b,NA,NA,NA,NA,NA,NA
ENSMUSG00000004035,chol2,0.07767692951746781,0.06394976554224542,1.2146554230312883,0.22750807623139294,0.22750807623139294,Gstm7,NA,NA,NA,NA,NA,NA
ENSMUSG00000038776,chol2,-0.2073320631456406,0.17093439861296128,-1.2129335278798554,0.2281627051344234,0.2281627051344234,Ephx1,NA,NA,NA,NA,NA,NA
ENSMUSG00000031835,chol2,-0.013567397467515068,0.011272808342961262,-1.203550797169948,0.2317537804723074,0.2317537804723074,Mbtps1,NA,NA,NA,NA,NA,NA
ENSMUSG00000022272,chol2,-0.011733705866591275,0.009755028373812627,-1.202836672222339,0.23202875965280198,0.23202875965280198,Myo10,chol2:sexM,-0.042312871293628825,0.019196050753572395,-2.204248771625819,0.029947843742350988,0.029947843742350988
ENSMUSG00000009470,chol2,0.01688403939694926,0.014037152185727661,1.202810881691244,0.23203869489093926,0.23203869489093926,Tnpo1,NA,NA,NA,NA,NA,NA
