ENSEMBL.ID,term_main,estimate_main,std.error_main,statistic_main,p.value_main,p.adj_main,symbol,term_int,estimate_int,std.error_int,statistic_int,p.value_int,p.adj_int
ENSMUSG00000039536,chol1,7.073302966618429e-4,0.006712796665675131,0.10537043379828101,0.9163137926537357,0.9163137926537357,Stau1,NA,NA,NA,NA,NA,NA
ENSMUSG00000017778,chol1,-0.002776700214967616,0.02636811843289627,-0.10530520871384845,0.9163654016973781,0.9163654016973781,Cox7c,NA,NA,NA,NA,NA,NA
ENSMUSG00000021037,chol1,-0.0010466286166888304,0.009960295188472587,-0.1050800801466338,0.9165435363769607,0.9165435363769607,Ahsa1,NA,NA,NA,NA,NA,NA
ENSMUSG00000013160,chol1,-4.439526291752459e-4,0.00422534789986443,-0.1050688936618663,0.9165523878787124,0.9165523878787124,Atp6v0d1,NA,NA,NA,NA,NA,NA
ENSMUSG00000023951,chol1,0.0020379612377750904,0.019407271470039615,0.1050101886254972,0.9165988394380193,0.9165988394380193,Vegfa,NA,NA,NA,NA,NA,NA
ENSMUSG00000046756,chol1,5.535319904810988e-4,0.005277691493729005,0.10488146022532957,0.916700699427522,0.916700699427522,Mrps7,NA,NA,NA,NA,NA,NA
ENSMUSG00000032393,chol1,-9.727320606930549e-4,0.009335568928681108,-0.10419633426995419,0.9172428480761385,0.9172428480761385,Dpp8,NA,NA,NA,NA,NA,NA
ENSMUSG00000078686,chol1,-0.7846484245331594,7.595266963109297,-0.10330755039213863,0.9179462120204013,0.9179462120204013,Mup9,NA,NA,NA,NA,NA,NA
ENSMUSG00000020986,chol1,0.001105500107600984,0.01074764505120093,0.10285975228382302,0.9183006143277823,0.9183006143277823,Sec23a,NA,NA,NA,NA,NA,NA
ENSMUSG00000042248,chol1,-0.020471322170898892,0.2002222512474099,-0.10224299269117179,0.918788765371376,0.918788765371376,Cyp2c37,NA,NA,NA,NA,NA,NA
ENSMUSG00000025481,chol1,-0.0019680129478842445,0.01929109410593455,-0.10201665789805159,0.9189679119735945,0.9189679119735945,Urah,NA,NA,NA,NA,NA,NA
ENSMUSG00000026434,chol1,8.549116790780404e-4,0.008404730327944556,0.10171791904322953,0.9192043736271414,0.9192043736271414,Nucks1,NA,NA,NA,NA,NA,NA
ENSMUSG00000005469,chol1,-5.031872896973681e-4,0.004968369421203574,-0.10127815527362141,0.9195524743608978,0.9195524743608978,Prkaca,NA,NA,NA,NA,NA,NA
ENSMUSG00000006932,chol1,-0.002543479393173781,0.025180847321749304,-0.10100849112320841,0.9197659382840808,0.9197659382840808,Ctnnb1,NA,NA,NA,NA,NA,NA
ENSMUSG00000022108,chol1,-0.00738994916493538,0.0734246992648981,-0.10064663851429989,0.9200523870651447,0.9200523870651447,Itm2b,NA,NA,NA,NA,NA,NA
ENSMUSG00000021620,chol1,0.001968845264744889,0.019583100572964723,0.10053797443408737,0.9201384094903552,0.9201384094903552,Acot12,NA,NA,NA,NA,NA,NA
ENSMUSG00000034850,chol1,-4.194027368239759e-4,0.004172421394054891,-0.10051782819002063,0.9201543580919277,0.9201543580919277,Tmem127,NA,NA,NA,NA,NA,NA
ENSMUSG00000022139,chol1,-7.71027971829477e-4,0.007683409714644334,-0.10034971457527798,0.920287445067528,0.920287445067528,Mbnl2,NA,NA,NA,NA,NA,NA
ENSMUSG00000020368,chol1,-0.0032004939575469827,0.03197310893636178,-0.10009955440733462,0.9204854883155392,0.9204854883155392,Canx,NA,NA,NA,NA,NA,NA
ENSMUSG00000035992,chol1,8.820532490767056e-4,0.00882712243187241,0.09992534440123363,0.920623407380292,0.920623407380292,Fnip1,NA,NA,NA,NA,NA,NA
ENSMUSG00000078853,chol1,-0.0026465887709015753,0.026510262199324012,-0.09983261391390769,0.9206968215018307,0.9206968215018307,Igtp,NA,NA,NA,NA,NA,NA
ENSMUSG00000026618,chol1,7.088515549970519e-4,0.007109371646350089,0.0997066393850675,0.9207965558145538,0.9207965558145538,Iars2,NA,NA,NA,NA,NA,NA
ENSMUSG00000025509,chol1,7.993966358175947e-4,0.008121977959619536,0.09842388637250642,0.921812186030579,0.921812186030579,Pnpla2,NA,NA,NA,NA,NA,NA
ENSMUSG00000021495,chol1,-6.389714109514646e-4,0.006538645134568177,-0.09772229533812486,0.9223677314311303,0.9223677314311303,Fam193b,NA,NA,NA,NA,NA,NA
ENSMUSG00000012848,chol1,0.0015949554972906046,0.01642837976962737,0.09708538027830006,0.9228720973845252,0.9228720973845252,Rps5,NA,NA,NA,NA,NA,NA
ENSMUSG00000025137,chol1,-0.00523846185364871,0.05411382732668988,-0.09680449734267843,0.9230945354878333,0.9230945354878333,Pcyt2,NA,NA,NA,NA,NA,NA
