ENSEMBL.ID,term,estimate,std.error,statistic,p.value,p.adj,symbol
ENSMUSG00000030096,chol2:sexM,0.025332133267081964,0.023692967165739567,1.069183656478141,0.28787819994683705,0.28787819994683705,Slc6a6
ENSMUSG00000023764,chol2:sexM,-0.03319873316050108,0.031051251018543106,-1.0691592793048996,0.28788912153496155,0.28788912153496155,Sfi1
ENSMUSG00000020515,chol2:sexM,-0.020301286369351832,0.01899544018824369,-1.0687452445517074,0.28807466294846246,0.28807466294846246,Cnot8
ENSMUSG00000058600,chol2:sexM,-0.020518350489140004,0.019199516330089404,-1.0686910095221371,0.2880989733681484,0.2880989733681484,Rpl30
ENSMUSG00000028580,chol2:sexM,-0.009073192236130796,0.008496972909581204,-1.0678146597242704,0.28849198521511954,0.28849198521511954,Pum1
ENSMUSG00000074115,chol2:sexM,-0.5174715081254408,0.4853817060959872,-1.0661125082104097,0.28925638967976436,0.28925638967976436,Saa1
ENSMUSG00000049382,chol2:sexM,0.12628030780863872,0.11855777225744316,1.065137320009914,0.28969495310328713,0.28969495310328713,Krt8
ENSMUSG00000020592,chol2:sexM,-0.06474323450152815,0.06078813472744479,-1.0650636804668674,0.2897280888930299,0.2897280888930299,Sdc1
ENSMUSG00000039176,chol2:sexM,0.011134535276042539,0.010456134204615426,1.0648806775191983,0.2898104464757676,0.2898104464757676,Polg
ENSMUSG00000074828,chol2:sexM,0.051095584908957534,0.04798443384867309,1.0648366732865073,0.2898302522750953,0.2898302522750953,NA
ENSMUSG00000036707,chol2:sexM,-0.008489300315279481,0.007976119249885217,-1.0643396931912283,0.2900540016386799,0.2900540016386799,Cab39
ENSMUSG00000028179,chol2:sexM,-0.13278585893890293,0.12497598943887922,-1.0624909595442187,0.2908873725534945,0.2908873725534945,Cth
ENSMUSG00000020190,chol2:sexM,0.04702745467902058,0.04426440644132815,1.0624214455773808,0.2909187399285243,0.2909187399285243,Mknk2
ENSMUSG00000001247,chol2:sexM,0.03654755798999736,0.034438944627314005,1.0612275836411953,0.2914578174035802,0.2914578174035802,Lsr
ENSMUSG00000028494,chol2:sexM,0.19911557788189502,0.18775836866653353,1.0604884314665748,0.2917919168898272,0.2917919168898272,Plin2
ENSMUSG00000093930,chol2:sexM,0.12554593316847334,0.11840124697798803,1.0603429978386425,0.2918576842236028,0.2918576842236028,Hmgcs1
ENSMUSG00000058022,chol2:sexM,-0.030752645652926618,0.029022216704803785,-1.0596242859642218,0.29218284555166724,0.29218284555166724,Adtrp
ENSMUSG00000028673,chol2:sexM,-0.016012257632687828,0.015114592805619614,-1.0593906060594938,0.292288620860015,0.292288620860015,Fuca1
ENSMUSG00000040562,chol2:sexM,0.049005800179943014,0.046267283825124926,1.0591890452261856,0.2923798784651705,0.2923798784651705,Gstm2
ENSMUSG00000063870,chol2:sexM,-0.0170389314097634,0.01608788860231041,-1.059115452062268,0.2924132029618306,0.2924132029618306,Chd4
